Formula      , Material id  , Space group  , Prototype    , E_hull (eV/atom)  , ELF ,Dim. ,Topo. ,Spillage   , Reference
NdScSi            , mp-1077558   , I4/mmm           , HoMgSn             ,0.014,0.864,2, N/A       ,1.9988,
CeScSb            , mp-1077197   , I4/mmm           , HoMgSn             ,0.02,0.813,2, N/A       ,2.4886,
YTiGe             , mp-10455     , I4/mmm           , HoMgSn             ,0.022,0.725,2, N/A       ,2.0321,
Pr2MgNi2    , mp-2926      , P4/mbm           , Pr2MgNi2     ,0.0,0.687,2, HSL_SM   ,1.6673,
Pr2MgGe2    , mp-21350     , P4/mbm           , Pr2MgNi2     ,0.0,0.829,2, HSL_SM   ,1.0544,
Nd2MgNi2    , mp-5925      , P4/mbm           , Pr2MgNi2     ,0.0,0.684,2, HSL_SM   ,1.8016,
Sm2MgGe2    , mp-867932    , P4/mbm           , Pr2MgNi2     ,0.0,0.83,2, HSL_SM   ,1.6946,
Mg(ScGa)2      , mp-13570     , P4/mbm           , Pr2MgNi2     ,0.0,0.701,2, HSL_SM   ,1.4219,
Tb2MgGe2    , mp-867301    , P4/mbm           , Pr2MgNi2     ,0.0,0.83,2, HSL_SM   ,1.868,
Dy2MgSi2    , mp-570561    , P4/mbm           , Pr2MgNi2     ,0.0,0.83,2, HSL_SM   ,1.2553,
Ce2MgSi2    , mp-505296    , P4/mbm           , Pr2MgNi2     ,0.0,0.849,2, N/A       , N/A    ,
Dy2MgGe2    , mp-977559    , P4/mbm           , Pr2MgNi2     ,0.0,0.829,2, HSL_SM   ,1.2521,
Ce2MgNi2    , mp-19910     , P4/mbm           , Pr2MgNi2     ,0.0,0.748,2, HSL_SM   , N/A    ,
Y2MgCu2     , mp-4901      , P4/mbm           , Pr2MgNi2     ,0.0,0.625,2, HSL_SM   ,1.0312,
Li(NdSi)2      , mp-1091362   , P4/mbm           , Pr2MgNi2     ,0.015,0.8,2, HSP_SM   ,1.862,
Yb2MgSi2    , mp-13357     , P4/mbm           , Pr2MgNi2     ,0.082,0.627,2, HSL_SM   ,1.9908,
Ca5Si3      , mp-793       , I4/mcm           , Ca5Si3       ,0.0,0.233,0, HSL_SM   ,1.9947,"Burton, Chem. Mater, 2018      "
Ca5Au3      , mp-30368     , I4/mcm           , Ca5Si3       ,0.0,0.675,0, HSP_SM   , N/A    ,"Burton, Chem. Mater, 2018      "
Yb5Au3      , mp-568944    , I4/mcm           , Ca5Si3       ,0.0,0.623,0, HSP_SM   ,2.4281,
Sr5Si3      , mp-746       , I4/mcm           , Ca5Si3       ,0.0,0.327,0, TI        ,1.4715,
Yb5Ag3      , mp-571212    , I4/mcm           , Ca5Si3       ,0.0,0.379,0, HSP_SM   ,1.3221,
La5Si3      , mp-10961     , I4/mcm           , Ca5Si3       ,0.0,0.406,0, HSP_SM   , N/A    ,"Burton, Chem. Mater, 2018      "
Sr5Sn3    , mp-17720     , I4/mcm     , Ca5Si3    ,0.002,0.661,0, HSL_SM   , N/A    ,"Burton, Chem. Mater, 2018       "
Sr5Ge3    , mp-17757     , I4/mcm     , Ca5Si3    ,0.003,0.334,0, TI        , N/A    ,"Burton, Chem. Mater, 2018       "
Ca5Hg3    , mp-31154     , I4/mcm     , Ca5Si3    ,0.008,0.551,0, N/A       , N/A    ,
Ba5Sn3    , mp-17325     , I4/mcm     , Ca5Si3    ,0.009,0.706,0, TCI       , N/A    ,"Burton, Chem. Mater, 2018      "
Sr5In3    , mp-570362    , I4/mcm     , Ca5Si3    ,0.01,0.601,0, HSP_SM   , N/A    ,
Ba5Pb3    , mp-622106    , I4/mcm     , Ca5Si3    ,0.013,0.59,0, N/A       , N/A    ,
Ln3In        , mp-20909     , Pm-3m      , Ln3In       ,0.0,0.509,0, HSP_SM   ,1.4378,"Burton, Chem. Mater, 2018     "
Nd3In        , mp-21483     , Pm-3m      , Ln3In       ,0.0,0.513,0, HSP_SM   ,1.9881,"Burton, Chem. Mater, 2018      "
La3Tl        , mp-371       , Pm-3m      , Ln3In       ,0.0,0.439,0, HSP_SM   , N/A    ,"Burton, Chem. Mater, 2018    "
Nd3Sm        , mp-974066    , Pm-3m      , Ln3In       ,0.029,0.694,3, N/A       ,3.9224,"Burton, Chem. Mater, 2018   "
Ca3Pb        , mp-30479     , Pm-3m      , Ln3In       ,0.041,0.542,0, HSP_SM   ,1.5868,
K3Pd         , mp-1064508   , Pm-3m      , Ln3In       ,0.189,0.317,0, N/A       ,1.1952,
Rb3Pt        , mp-1067281   , Pm-3m      , Ln3In       ,0.222,0.857,0, N/A       ,1.3418,
Rb3Os        , mp-1066774   , Pm-3m      , Ln3In       ,1.438,0.629,0, N/A       ,1.8765,
Rb3Re        , mp-1065428   , Pm-3m      , Ln3In       ,1.579,0.442,0, N/A       , N/A    ,
Ca2Sb        , mp-9925      , I4/mmm     , Sr2Bi       ,0.0,0.976,0, Triv_ins ,0.0343,"Zhang, PRX, 2017"
Sr2Bi        , mp-29619     , I4/mmm     , Sr2Bi       ,0.024,0.939,0, TCI       , N/A    ,"Zhang, PRX, 2017"
Ba2Bi        , mp-567872    , I4/mmm     , Sr2Bi       ,0.027,0.811,0, TI        ,1.2539,"Zhang, PRX, 2017"
Sr2Sb        , mp-15624     , I4/mmm     , Sr2Bi       ,0.03,0.941,0, TCI       ,0.0358,
Ba2Sb        , mp-9908      , I4/mmm     , Sr2Bi       ,0.03,0.798,0, TCI       ,1.0461,"Zhang, PRX, 2017"
Ca2As        , mp-10106     , I4/mmm     , Sr2Bi       ,0.046,0.973,0, TCI       ,1.0041,"Zhang, PRX, 2017"
Sr2As        , mp-15697     , I4/mmm     , Sr2Bi       ,0.08,0.919,0, TCI       ,0.8797,"Zhang, PRX, 2017"
Ho2C         , mp-1640      , R-3m          , Ca2N      ,0.0,0.845,2, TI        ,1.052,"Inoshita, PRX, 2014 "
Y2C          , mp-1334      , R-3m          , Ca2N      ,0.0,0.869,2, TI        ,1.0057,"Burton, Chem. Mater, 2018; Inoshita, PRX, 2014 ; Zhang, JPCL, 2015"
Tb2C         , mp-692       , R-3m          , Ca2N      ,0.0,0.811,2, TI        ,1.0317,"Inoshita, PRX, 2014 "
